"","species","gbifID","class","order","family","genus","decimalLatitude","decimalLongitude","depth","eventDate","day","month","year","SpiculeTypes"
"613531","Homaxinella amphispicula","2557145950","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.27199","179.21925",98,"1997-07-26T00:00:00",26,7,1997,2
"613533","Homaxinella amphispicula","2557126152","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.57162","-169.75225",142,"2007-05-30T00:00:00",30,5,2007,2
"613534","Homaxinella amphispicula","2557130577","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.98107","-170.39014",232,"2010-06-17T00:00:00",17,6,2010,2
"613535","Homaxinella amphispicula","2557148356","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.51497","174.0829",121,"2000-07-12T00:00:00",12,7,2000,2
"613536","Homaxinella amphispicula","2557142290","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.6508","-176.38765",154,"1997-07-11T00:00:00",11,7,1997,2
"613537","Homaxinella amphispicula","2557132486","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.47843","173.18621",117,"2002-06-21T00:00:00",21,6,2002,2
"613538","Homaxinella amphispicula","2557133163","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.28397","-170.66727",157,"2012-06-18T00:00:00",18,6,2012,2
"613539","Homaxinella amphispicula","2557125165","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.69089","-169.84625",211,"2009-05-22T00:00:00",22,5,2009,2
"613540","Homaxinella amphispicula","2557132189","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.27224","-170.80283",234,"2012-06-18T00:00:00",18,6,2012,2
"613541","Homaxinella amphispicula","2557135417","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.63458","-172.38816",431,"2000-06-05T00:00:00",5,6,2000,2
"613542","Homaxinella amphispicula","2557127222","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.2584","-166.62709",229,"2007-05-31T00:00:00",31,5,2007,2
"613543","Homaxinella amphispicula","2557128666","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.56338","-166.1089",108,"2003-05-30T00:00:00",30,5,2003,2
"613544","Homaxinella amphispicula","2557129379","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.87956","-165.36925",94,"2005-05-27T00:00:00",27,5,2005,2
"613545","Homaxinella amphispicula","2557141864","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.85151","178.34935",239,"2004-07-07T00:00:00",7,7,2004,2
"613546","Homaxinella amphispicula","2557128132","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.64008","-169.1336",125,"2007-06-01T00:00:00",1,6,2007,2
"613547","Homaxinella amphispicula","2557146943","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.03189","176.47675",160,"1997-07-31T00:00:00",31,7,1997,2
"613549","Homaxinella amphispicula","2557133481","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.80676","-171.53136",207,"2012-06-20T00:00:00",20,6,2012,2
"613550","Homaxinella amphispicula","2557140278","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.77221","177.36702",141,"2010-07-10T00:00:00",10,7,2010,2
"613551","Homaxinella amphispicula","2557129075","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.78094","-167.26545",161,"2000-05-23T00:00:00",23,5,2000,2
"613552","Homaxinella amphispicula","2557143723","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.67153","177.9557",392,"1997-07-27T00:00:00",27,7,1997,2
"613553","Homaxinella amphispicula","2557145344","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.53874","-179.5853",93,"1997-07-20T00:00:00",20,7,1997,2
"613554","Homaxinella amphispicula","2557144653","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.13035","-172.4682",163,"2002-07-28T00:00:00",28,7,2002,2
"613555","Homaxinella amphispicula","2557131361","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.28898","-170.8039",226,"2012-06-18T00:00:00",18,6,2012,2
"613556","Homaxinella amphispicula","2557127108","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.64766","-166.32174",77,"2009-05-24T00:00:00",24,5,2009,2
"613557","Homaxinella amphispicula","2557131852","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.5421","-170.08425",233,"2000-05-27T00:00:00",27,5,2000,2
